id,filename,content,title,Cơ quan ban hành,Số hiệu,Loại văn bản,Người ký,Ngày ban hành,Lĩnh vực
0,Công văn 67/TANDTC-PC 2023 quy định của Bộ luật Hình sự về Tội đánh bạc,"Công văn 67/TANDTC-PC của Toà án nhân dân tối cao về việc tổng kết thực tiễn thi hành quy định của Bộ luật Hình sự về Tội đánh bạc, Tội tổ chức đánh bạc hoặc gá bạc","Công văn 67/TANDTC-PC của Toà án nhân dân tối cao về việc tổng kết thực tiễn thi hành quy định của Bộ luật Hình sự về Tội đánh bạc, Tội tổ chức đánh bạc hoặc gá bạc",Toà án nhân dân tối cao,67/TANDTC-PC,Công văn,Nguyễn Văn Tiến,20/04/2023,Hình sự
1,"Nghị quyết 209/NQ-CP 2023 ký Hiệp định hợp tác phòng, chống tội phạm Việt Nam-Trung Quốc","Nghị quyết 209/NQ-CP của Chính phủ về việc ký Hiệp định về hợp tác phòng, chống tội phạm giữa Chính phủ nước Cộng hòa xã hội chủ nghĩa Việt Nam và Chính phủ nước Cộng hòa nhân dân Trung Hoa","Nghị quyết 209/NQ-CP của Chính phủ về việc ký Hiệp định về hợp tác phòng, chống tội phạm giữa Chính phủ nước Cộng hòa xã hội chủ nghĩa Việt Nam và Chính phủ nước Cộng hòa nhân dân Trung Hoa",Chính phủ,209/NQ-CP,Nghị quyết,Trần Lưu Quang,08/12/2023,"Ngoại giao,   Hình sự"
2,Chương trình phối hợp 5789/CHPH-BTP-BCA 2023 về trực trợ giúp pháp lý trong điều tra hình sự,Chương trình phối hợp 5789/CHPH-BTP-BCA của Bộ Tư pháp và Bộ Công an về việc trực trợ giúp pháp lý trong điều tra hình sự,Chương trình phối hợp 5789/CHPH-BTP-BCA của Bộ Tư pháp và Bộ Công an về việc trực trợ giúp pháp lý trong điều tra hình sự,Bộ Công an; Bộ Tư pháp,5789/CHPH-BTP-BCA,Chương trình,Trần Tiến Dũng; Nguyễn Duy Ngọc,27/11/2023,Hình sự
3,Công văn 8727/VPCP-NC 2023 đàm phán Hiệp định tương trợ tư pháp về hình sự giữa Việt Nam-Ma rốc,Công văn 8727/VPCP-NC của Văn phòng Chính phủ về đàm phán Hiệp định tương trợ tư pháp về hình sự giữa Việt Nam và Ma-rốc,Công văn 8727/VPCP-NC của Văn phòng Chính phủ về đàm phán Hiệp định tương trợ tư pháp về hình sự giữa Việt Nam và Ma-rốc,Văn phòng Chính phủ,8727/VPCP-NC,Công văn,Cao Huy,07/11/2023,"Hình sự, Tư pháp-Hộ tịch"
4,Quyết định 1302/QĐ-CTN 2023 đàm phán Hiệp định Tương trợ tư pháp về hình sự,Quyết định 1302/QĐ-CTN của Chủ tịch nước về việc đàm phán Hiệp định Tương trợ tư pháp về hình sự giữa nước Cộng hòa xã hội chủ nghĩa Việt Nam và Vương quốc Ma-rốc,Quyết định 1302/QĐ-CTN của Chủ tịch nước về việc đàm phán Hiệp định Tương trợ tư pháp về hình sự giữa nước Cộng hòa xã hội chủ nghĩa Việt Nam và Vương quốc Ma-rốc,Chủ tịch nước,1302/QĐ-CTN,Quyết định,Võ Văn Thưởng,01/11/2023,"Hình sự,   Tư pháp-Hộ tịch"
5,Kế hoạch 3883/KH-UBND Lai Châu 2023 triển khai thực hiện Quyết định 22/2023/QĐ-TTg,"Kế hoạch 3883/KH-UBND của Ủy ban nhân dân tỉnh Lai Châu triển khai thực hiện Quyết định 22/2023/QĐ-TTg, ngày 17/8/2023 của Thủ tướng Chính phủ về tín dụng đối với người chấp hành xong án phạt tù","Kế hoạch 3883/KH-UBND của Ủy ban nhân dân tỉnh Lai Châu triển khai thực hiện Quyết định 22/2023/QĐ-TTg, ngày 17/8/2023 của Thủ tướng Chính phủ về tín dụng đối với người chấp hành xong án phạt tù",Ủy ban nhân dân tỉnh Lai Châu,3883/KH-UBND,Kế hoạch,Tống Thanh Hải,10/10/2023,"Tài chính-Ngân hàng, Hình sự"
6,Quyết định 364/QĐ-CA 2023 công bố 7 án lệ,Quyết định 364/QĐ-CA của Tòa án nhân dân tối cao về việc công bố án lệ,Quyết định 364/QĐ-CA của Tòa án nhân dân tối cao về việc công bố án lệ,Toà án nhân dân tối cao,364/QĐ-CA,Quyết định,Nguyễn Hòa Bình,01/10/2023,"Hình sự,   Tư pháp-Hộ tịch"
7,"Công văn 6084/BCT-DKT 2023 hướng dẫn Điều 227, Điều 238 Bộ luật Hình sự 2015","Công văn 6084/BCT-DKT của Bộ Công Thương về hướng dẫn áp dụng quy định tại Điều 227, Điều 238 Bộ luật Hình sự năm 2015","Công văn 6084/BCT-DKT của Bộ Công Thương về hướng dẫn áp dụng quy định tại Điều 227, Điều 238 Bộ luật Hình sự năm 2015",Bộ Công Thương,6084/BCT-DKT,Công văn,Nguyễn Sinh Nhật Tân,05/09/2023,Hình sự
8,Công văn 174/TANDTC-PC 2023 về áp dụng điểm s khoản 1 Điều 51 của BLHS,Công văn 174/TANDTC-PC của Toà án nhân dân tối cao về việc áp dụng điểm s khoản 1 Điều 51 của Bộ luật Hình sự,Công văn 174/TANDTC-PC của Toà án nhân dân tối cao về việc áp dụng điểm s khoản 1 Điều 51 của Bộ luật Hình sự,Toà án nhân dân tối cao,174/TANDTC-PC,Công văn,Nguyễn Văn Tiến,31/08/2023,Hình sự
9,Thông tư 02/2023/TT-TANDTC hướng dẫn Điều 55 của Luật Trách nhiệm bồi thường của Nhà nước,"Thông tư 02/2023/TT-TANDTC của Tòa án nhân dân tối cao hướng dẫn thi hành Điều 55 của Luật Trách nhiệm bồi thường của Nhà nước về giải quyết yêu cầu bồi thường trong quá trình tố tụng hình sự, tố tụng hành chính tại Tòa án","Thông tư 02/2023/TT-TANDTC của Tòa án nhân dân tối cao hướng dẫn thi hành Điều 55 của Luật Trách nhiệm bồi thường của Nhà nước về giải quyết yêu cầu bồi thường trong quá trình tố tụng hình sự, tố tụng hành chính tại Tòa án",Toà án nhân dân tối cao,02/2023/TT-TANDTC,Thông tư,Nguyễn Hòa Bình,24/08/2023,Hình sự
