id,filename,content,title,Cơ quan ban hành,Số hiệu,Loại văn bản,Người ký,Ngày ban hành,Lĩnh vực
0,"VỀ VIỆC XÉT XỬ CÁC HÀNH VI XÂM PHẠM TÍNH MẠNG HOẶC SỨC KHỎE CỦA NGƯỜI KHÁC DO VƯỢT QUÁ GIỚI HẠN PHÒNG VỆ CHÍNH ĐÁNG HOẶC TRONG KHI THI HÀNH CÔNG VỤ","Chỉ thị 07-TANDTC/CT năm 1983 về xét xử các hành vi xâm phạm tính mạng hoặc sức khỏe của người khác do vượt quá giới hạn phòng vệ chính đáng hoặc trong khi thi hành công vụ do Tòa án nhân dân tối cao ban hành","Chỉ thị 07-TANDTC/CT năm 1983 về xét xử các hành vi xâm phạm tính mạng hoặc sức khỏe của người khác do vượt quá giới hạn phòng vệ chính đáng hoặc trong khi thi hành công vụ do Tòa án nhân dân tối cao ban hành,07-TANDTC/CT,Chỉ thị",,22/12/1983,Trách nhiệm hình sự Thủ tục Tố tụng
1,"Kế hoạch 12/KH-UBND năm 2022 thực hiện Công văn 1676/TTg-NC về “Tăng cường các biện pháp phòng ngừa tội phạm giết người” trên địa bàn tỉnh Cà Mau","Kế hoạch 12/KH-UBND năm 2022 thực hiện Công văn 1676/TTg-NC về “Tăng cường các biện pháp phòng ngừa tội phạm giết người” trên địa bàn tỉnh Cà Mau","Kế hoạch 12/KH-UBND năm 2022 thực hiện Công văn 1676/TTg-NC về “Tăng cường các biện pháp phòng ngừa tội phạm giết người” trên địa bàn tỉnh Cà Mau",Tỉnh Cà Mau,12/KH-UBND,Kế hoạch,Nguyễn Minh Luân,12/01/2022,Trách nhiệm hình sự
2,"KẾ HOẠCH 101/KH-UBND 2021 THỰC HIỆN CÔNG VĂN 1676/TTG-NC THÀNH PHỐ HÀ NỘI","Kế hoạch 101/KH-UBND năm 2021 thực hiện Công văn 1676/TTg-NC về “tăng cường biện pháp phòng ngừa tội phạm giết người”, trên địa bàn Thành phố Hà Nội","Kế hoạch 101/KH-UBND năm 2021 thực hiện Công văn 1676/TTg-NC về “tăng cường biện pháp phòng ngừa tội phạm giết người”, trên địa bàn Thành phố Hà Nội",Thành phố Hà Nội,101/KH-UBND,Kế hoạch,Lê Hồng Sơn,Trách nhiệm hình sự
3,"KẾ HOẠCH 1567/KH-BGDĐT 2020 THỰC HIỆN CÔNG ƯỚC ASEAN PHÒNG CHỐNG TỘI PHẠM BUÔN BÁN NGƯỜI","Kế hoạch 1567/KH-BGDĐT năm 2020 thực hiện Công ước ASEAN về phòng, chống tội phạm buôn bán người, tội phạm giết người và phòng, chống tội phạm ma túy, HIV/AIDS, tệ nạn xã hội trong ngành Giáo dục giai đoạn 2021-2025, định hướng đến năm 2030 do Bộ Giáo dục và Đào tạo ban hành","Kế hoạch 1567/KH-BGDĐT năm 2020 thực hiện Công ước ASEAN về phòng, chống tội phạm buôn bán người, tội phạm giết người và phòng, chống tội phạm ma túy, HIV/AIDS, tệ nạn xã hội trong ngành Giáo dục giai đoạn 2021-2025, định hướng đến năm 2030 do Bộ Giáo dục và Đào tạo ban hành","Bộ Giáo dục và Đào tạo","1567/KH-BGDĐT","Kế hoạch","Ngô Thị Minh","11/12/2020","Trách nhiệm hình sự, Văn hóa - Xã hội"
4,"HƯỚNG DẪN 28/HD-VKSTC 2020 THỰC HÀNH QUYỀN CÔNG TỐ GIẢI QUYẾT CÁC VỤ ÁN GIẾT NGƯỜI","Hướng dẫn 28/HD-VKSTC năm 2020 về thực hành quyền công tố, kiểm sát việc giải quyết các vụ án giết người, hủy hoại tài sản, gây rối trật tự công cộng, chống người thi hành công vụ xảy ra tại điểm nóng có khiếu kiện phức tạp do Viện kiểm sát nhân dân tối cao ban hành","Hướng dẫn 28/HD-VKSTC năm 2020 về thực hành quyền công tố, kiểm sát việc giải quyết các vụ án giết người, hủy hoại tài sản, gây rối trật tự công cộng, chống người thi hành công vụ xảy ra tại điểm nóng có khiếu kiện phức tạp do Viện kiểm sát nhân dân tối cao ban hành","Viện kiểm sát nhân dân tối cao","28/HD-VKSTC","Hướng dẫn","Lê Minh Long","24/09/2020","Thủ tục Tố tụng"
5,"Chỉ thị 07-TANDTC/CT năm 1983 về xét xử các hành vi xâm phạm tính mạng hoặc sức khỏe của người khác do vượt quá giới hạn phòng vệ chính đáng hoặc trong khi thi hành công vụ do Tòa án nhân dân tối cao ban hành","Chỉ thị 07-TANDTC/CT năm 1983 về xét xử các hành vi xâm phạm tính mạng hoặc sức khỏe của người khác do vượt quá giới hạn phòng vệ chính đáng hoặc trong khi thi hành công vụ do Tòa án nhân dân tối cao ban hành","Chỉ thị 07-TANDTC/CT năm 1983 về xét xử các hành vi xâm phạm tính mạng hoặc sức khỏe của người khác do vượt quá giới hạn phòng vệ chính đáng hoặc trong khi thi hành công vụ do Tòa án nhân dân tối cao ban hành","Tòa án nhân dân tối cao","07-TANDTC/CT","Chỉ thị","","22/12/1983","Trách nhiệm hình sự, Thủ tục Tố tụng"
6, "NGHỊ ĐỊNH 208/2013/NĐ-CP PHÒNG NGỪA NGĂN CHẶN XỬ LÝ HÀNH VI CHỐNG NGƯỜI THI HÀNH CÔNG VỤ","Nghị định 208/2013/NĐ-CP quy định biện pháp phòng ngừa, ngăn chặn và xử lý hành vi chống người thi hành công vụ","Nghị định 208/2013/NĐ-CP quy định biện pháp phòng ngừa, ngăn chặn và xử lý hành vi chống người thi hành công vụ","Chính phủ","208/2013/NĐ-CP","Nghị định","Nguyễn Tấn Dũng","17/12/2013","Bộ máy hành chính, Trách nhiệm hình sự, Văn hóa - Xã hội"
7,"HƯỚNG DẪN 32/HD-VKSTC 2020 THỐNG KÊ NGƯỜI DƯỚI 18 TUỔI LÀ BỊ HẠI TRONG CÁC VỤ ÁN HÌNH SỰ","Hướng dẫn 32/HD-VKSTC năm 2020 về thống kê người dưới 18 tuổi là bị hại trong các vụ án hình sự do Viện kiểm sát nhân dân tối cao ban hành","Hướng dẫn 32/HD-VKSTC năm 2020 về thống kê người dưới 18 tuổi là bị hại trong các vụ án hình sự do Viện kiểm sát nhân dân tối cao ban hành","Viện kiểm sát nhân dân tối cao","32/HD-VKSTC","Hướng dẫn","Trần Văn Trung","05/11/2020","Trách nhiệm hình sự"
8,"CHỈ THỊ 06/CT-BCA-C41 CÔNG TÁC PHÒNG CHỐNG TỘI PHẠM TRẬT TỰ XÃ HỘI NÔNG THÔN TÌNH HÌNH HIỆN NAY 2016","Chỉ thị 06/CT-BCA-C41 năm 2016 về tăng cường công tác phòng, chống tội phạm, đảm bảo trật tự xã hội ở địa bàn nông thôn, góp phần phục vụ xây dựng nông thôn mới trong tình hình hiện nay do Bộ Công an ban hành","Chỉ thị 06/CT-BCA-C41 năm 2016 về tăng cường công tác phòng, chống tội phạm, đảm bảo trật tự xã hội ở địa bàn nông thôn, góp phần phục vụ xây dựng nông thôn mới trong tình hình hiện nay do Bộ Công an ban hành","Bộ Công An","06/CT-BCA-C41","Chỉ thị","Tô Lâm","20/10/2016","Trách nhiệm hình sự, Văn hóa - Xã hội"
9,"Thông báo 338/TB-VPCP năm 2017","Thông báo 338/TB-VPCP năm 2017 về kết luận của Phó Thủ tướng Thường trực Chính phủ Trương Hòa Bình, Trưởng Ban Chỉ đạo 138/CP tại Hội nghị sơ kết công tác phòng, chống tội phạm; phòng, chống mua bán người 6 tháng đầu năm 2017 của Ban Chỉ đạo 138/CP do Văn phòng Chính phủ ban hành","Thông báo 338/TB-VPCP năm 2017 về kết luận của Phó Thủ tướng Thường trực Chính phủ Trương Hòa Bình, Trưởng Ban Chỉ đạo 138/CP tại Hội nghị sơ kết công tác phòng, chống tội phạm; phòng, chống mua bán người 6 tháng đầu năm 2017 của Ban Chỉ đạo 138/CP do Văn phòng Chính phủ ban hành","Văn phòng Chính phủ","338/TB-VPCP","Thông báo","Lê Mạnh Hà","04/08/2017","Bộ máy hành chính, Trách nhiệm hình sự"
